Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365209	25.0	26	0.525	1711151269.42	39.9	1037.9	27.7	28.0	728.4	29.136	0.105	3.218	-50.985	616.501	2024	3	22	23	47	49
365212	25.0	1	0.02	1711151333.419	7.2	7.2	7.2	5.1	5.1	0.204	0.001	3.583	-54.922	616.807	2024	3	22	23	48	53
365217	13.832	369	13.473	1711151462.52	37.9	13993.8	24.9	26.6	9820.9	710.013	2.556	4.798	-62.848	617.448	2024	3	22	23	51	2
365220	22.425	419	9.437	1711151526.42	36.0	15080.6	25.1	25.3	10583.6	471.955	1.699	5.798	-66.758	617.783	2024	3	22	23	52	6
365223	25.0	98	1.98	1711151590.419	37.3	3652.7	26.6	26.2	2563.5	102.54	0.369	7.281	-70.66	618.127	2024	3	22	23	53	10
365226	10.298	10	0.49	1711151654.42	25.4	254.5	20.9	17.9	178.6	17.343	0.062	9.603	-74.536	618.483	2024	3	22	23	54	14
365229	25.0	2	0.04	1711151718.42	88.1	176.3	42.8	61.8	123.7	4.948	0.018	13.596	-78.362	618.845	2024	3	22	23	55	18
365232	25.0	7	0.141	1711151782.419	37.7	264.2	16.0	26.5	185.4	7.416	0.027	21.559	-82.067	619.229	2024	3	22	23	56	22
365235	25.0	3	0.061	1711151846.419	48.4	145.2	30.6	34.0	101.9	4.076	0.015	42.289	-85.345	619.613	2024	3	22	23	57	26
365238	25.0	6	0.121	1711151910.419	38.9	233.2	22.7	27.3	163.7	6.548	0.024	98.155	-86.604	620.012	2024	3	22	23	58	30
365241	25.0	4	0.081	1711151974.419	33.1	132.2	19.2	23.2	92.8	3.712	0.013	140.616	-84.296	620.416	2024	3	22	23	59	34
365244	25.0	4	0.081	1711152038.419	38.7	154.7	22.2	27.2	108.6	4.344	0.016	154.911	-80.796	620.821	2024	3	23	0	0	38
365247	25.0	3	0.061	1711152102.419	71.4	214.3	49.4	50.1	150.4	6.016	0.022	161.041	-77.038	621.234	2024	3	23	0	1	42
365250	25.0	5	0.101	1711152166.419	52.1	260.3	28.7	36.5	182.7	7.308	0.026	164.294	-73.192	621.644	2024	3	23	0	2	46
365253	25.0	1	0.02	1711152230.419	138.5	138.5	46.2	97.2	97.2	3.888	0.014	166.264	-69.31	622.051	2024	3	23	0	3	50
365256	24.684	6	0.123	1711152294.419	51.8	310.7	41.2	36.4	218.1	8.836	0.032	167.549	-65.407	622.45	2024	3	23	0	4	54
365259	25.0	5	0.101	1711152358.419	36.8	183.8	19.2	25.8	129.0	5.16	0.019	168.431	-61.492	622.839	2024	3	23	0	5	58
365262	25.0	22	0.444	1711152422.419	28.9	636.5	25.7	20.3	446.7	17.868	0.064	169.056	-57.571	623.214	2024	3	23	0	7	2
365265	25.0	122	2.465	1711152486.419	35.2	4294.9	24.7	24.7	3014.2	120.568	0.434	169.506	-53.644	623.568	2024	3	23	0	8	6
365268	25.0	126	2.545	1711152550.419	37.3	4702.6	26.0	26.2	3300.3	132.012	0.475	169.834	-49.714	623.894	2024	3	23	0	9	10
365271	25.0	13	0.263	1711152614.419	72.5	942.0	34.7	50.9	661.1	26.444	0.095	170.073	-45.781	624.19	2024	3	23	0	10	14
365274	25.0	1	0.02	1711152678.419	26.2	26.2	8.7	18.4	18.4	0.736	0.003	170.245	-41.846	624.454	2024	3	23	0	11	18
365277	25.0	4	0.081	1711152742.419	42.9	171.6	25.0	30.1	120.4	4.816	0.017	170.365	-37.91	624.676	2024	3	23	0	12	22
365283	25.0	3	0.061	1711152870.419	50.3	150.9	22.8	35.3	105.9	4.236	0.015	170.497	-30.033	624.99	2024	3	23	0	14	30
365286	25.0	1	0.02	1711152934.419	30.8	30.8	15.4	21.6	21.6	0.864	0.003	170.523	-26.094	625.076	2024	3	23	0	15	34
365289	25.0	3	0.061	1711152998.419	23.7	71.2	23.7	16.7	50.0	2.0	0.007	170.53	-22.153	625.11	2024	3	23	0	16	38
365301	25.0	3	0.061	1711153254.419	25.5	76.5	17.8	17.9	53.7	2.148	0.008	170.44	-6.385	624.653	2024	3	23	0	20	54
365307	25.0	3	0.061	1711153382.419	29.6	88.7	25.5	20.8	62.3	2.492	0.009	170.363	1.502	624.082	2024	3	23	0	23	2
365310	25.0	2	0.04	1711153446.419	22.9	45.9	9.3	16.1	32.2	1.288	0.005	170.325	5.446	623.704	2024	3	23	0	24	6
365313	25.0	2	0.04	1711153510.419	9.8	19.6	9.8	6.9	13.8	0.552	0.002	170.29	9.39	623.269	2024	3	23	0	25	10
365316	25.0	4	0.081	1711153574.419	67.4	269.5	31.9	47.3	189.1	7.564	0.027	170.26	13.334	622.793	2024	3	23	0	26	14
365319	25.0	2	0.04	1711153638.419	18.9	37.8	18.9	13.2	26.5	1.06	0.004	170.238	17.279	622.259	2024	3	23	0	27	18
365325	25.0	3	0.061	1711153766.419	76.0	228.0	44.6	53.3	160.0	6.4	0.023	170.231	25.169	621.08	2024	3	23	0	29	26
365328	25.0	1	0.02	1711153830.419	13.6	13.6	13.6	9.5	9.5	0.38	0.001	170.252	29.113	620.426	2024	3	23	0	30	30
365334	25.0	3	0.061	1711153958.419	71.2	213.5	30.1	49.9	149.8	5.992	0.022	170.37	37.002	619.054	2024	3	23	0	32	38
365337	25.0	1	0.02	1711154022.419	33.4	33.4	33.4	23.4	23.4	0.936	0.003	170.482	40.945	618.334	2024	3	23	0	33	42
365340	25.0	3	0.061	1711154086.419	43.8	131.3	25.6	30.7	92.1	3.684	0.013	170.642	44.887	617.612	2024	3	23	0	34	46
365343	21.157	4	0.095	1711154150.419	57.1	228.2	33.3	40.0	160.2	7.572	0.027	170.864	48.828	616.881	2024	3	23	0	35	50
365346	25.0	1	0.02	1711154214.419	43.9	43.9	14.6	30.8	30.8	1.232	0.004	171.171	52.768	616.153	2024	3	23	0	36	54
365349	25.0	7	0.141	1711154278.419	26.7	187.2	25.9	18.8	131.4	5.256	0.019	171.592	56.704	615.434	2024	3	23	0	37	58
365352	25.0	22	0.444	1711154342.419	39.7	873.5	29.3	27.9	613.0	24.52	0.088	172.174	60.636	614.735	2024	3	23	0	39	2
365357	25.0	133	2.687	1711154470.419	39.5	5248.7	25.4	27.7	3683.6	147.344	0.53	174.178	68.477	613.394	2024	3	23	0	41	10
365360	25.0	30	0.606	1711154534.42	43.9	1317.0	26.3	30.8	924.3	36.972	0.133	175.972	72.375	612.775	2024	3	23	0	42	14
365363	25.0	9	0.182	1711154598.42	40.9	368.1	29.4	28.7	258.3	10.332	0.037	178.888	76.24	612.195	2024	3	23	0	43	18
365366	25.0	3	0.061	1711154662.421	63.4	190.1	48.5	44.5	133.4	5.336	0.019	-175.812	80.035	611.656	2024	3	23	0	44	22
365369	25.0	3	0.061	1711154726.421	104.2	312.7	44.6	73.2	219.5	8.78	0.032	-164.013	83.627	611.155	2024	3	23	0	45	26
365381	25.0	5	0.101	1711154982.419	27.5	137.6	27.5	19.3	96.6	3.864	0.014	-33.045	78.523	609.651	2024	3	23	0	49	42
365384	25.0	1	0.02	1711155046.419	20.0	20.0	20.0	14.0	14.0	0.56	0.002	-29.14	74.931	609.436	2024	3	23	0	50	46
365387	25.0	5	0.101	1711155110.419	64.4	322.2	37.7	45.2	226.1	9.044	0.033	-26.814	71.292	609.273	2024	3	23	0	51	50
365390	25.0	3	0.061	1711155174.419	23.9	71.6	13.9	16.7	50.2	2.008	0.007	-25.305	67.628	609.161	2024	3	23	0	52	54
365393	25.0	2	0.04	1711155239.519	34.9	69.8	20.3	24.5	49.0	1.96	0.007	-24.271	63.951	609.085	2024	3	23	0	53	59
365426	25.0	1	0.02	1711155942.419	31.0	31.0	15.5	21.8	21.8	0.872	0.003	-21.649	19.515	610.942	2024	3	23	1	5	42
365429	25.0	2	0.04	1711156006.419	62.5	125.1	35.3	43.9	87.8	3.512	0.013	-21.663	15.805	611.23	2024	3	23	1	6	46
365432	25.0	3	0.061	1711156070.419	76.4	229.2	38.2	53.6	160.9	6.436	0.023	-21.686	12.095	611.521	2024	3	23	1	7	50
365435	25.0	1	0.02	1711156134.419	10.3	10.3	10.3	7.2	7.2	0.288	0.001	-21.714	8.385	611.82	2024	3	23	1	8	54
365438	25.0	3	0.061	1711156198.419	18.4	55.3	14.6	12.9	38.8	1.552	0.006	-21.747	4.675	612.122	2024	3	23	1	9	58
365476	25.0	21	0.424	1711157030.42	35.4	743.9	23.6	24.9	522.1	20.884	0.075	-21.4	-47.197	616.115	2024	3	23	1	23	50
365479	25.0	56	1.131	1711157094.42	29.8	1668.2	22.8	20.9	1170.8	46.832	0.169	-21.151	-50.891	616.403	2024	3	23	1	24	54
365482	25.0	27	0.545	1711157158.42	40.1	1082.8	26.0	28.1	759.9	30.396	0.109	-20.815	-54.582	616.689	2024	3	23	1	25	58
365512	25.0	9	0.182	1711157803.22	33.6	302.2	28.1	23.6	212.1	8.484	0.031	120.609	-83.603	620.483	2024	3	23	1	36	43
