Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365080	25.0	3	0.061	1711148517.42	1058.6	3175.6	42.0	742.9	2228.7	89.148	0.321	-163.471	60.583	614.697	2024	3	22	23	1	57
365083	16.456	2	0.061	1711148581.419	1171.9	2343.8	44.3	822.4	1644.9	99.957	0.36	-162.656	64.509	614.021	2024	3	22	23	3	1
365089	25.0	4	0.081	1711148709.419	8607.7	34430.8	40.2	6040.9	24163.7	966.548	3.48	-159.693	72.323	612.75	2024	3	22	23	5	9
365092	25.0	3	0.061	1711148773.419	1599.3	4798.0	49.0	1122.4	3367.3	134.692	0.485	-156.8	76.189	612.175	2024	3	22	23	6	13
365095	25.0	1	0.02	1711148837.419	9349.8	9349.8	82.7	6561.7	6561.7	262.468	0.945	-151.53	79.984	611.636	2024	3	22	23	7	17
365098	25.0	3	0.061	1711148901.419	2564.1	7692.4	40.0	1799.5	5398.6	215.944	0.777	-139.937	83.582	611.144	2024	3	22	23	8	21
365101	25.0	1	0.02	1711148965.419	5324.4	5324.4	83.2	3736.7	3736.7	149.468	0.538	-105.963	86.334	610.703	2024	3	22	23	9	25
365104	25.0	3	0.061	1711149029.419	1448.5	4345.6	59.5	1016.6	3049.8	121.992	0.439	-45.446	85.885	610.313	2024	3	22	23	10	29
365107	25.0	1	0.02	1711149093.419	635.5	635.5	70.6	446.0	446.0	17.84	0.064	-19.15	82.806	609.976	2024	3	22	23	11	33
365116	25.0	2	0.04	1711149285.419	6521.5	13043.0	87.6	4576.8	9153.7	366.148	1.318	-2.532	71.44	609.291	2024	3	22	23	14	45
365119	25.0	1	0.02	1711149349.419	2732.5	2732.5	58.1	1917.7	1917.7	76.708	0.276	-0.914	67.533	609.168	2024	3	22	23	15	49
365122	25.0	1	0.02	1711149413.419	3976.9	3976.9	63.1	2791.0	2791.0	111.64	0.402	0.168	63.609	609.098	2024	3	22	23	16	53
365128	25.0	2	0.04	1711149541.419	2094.6	4189.3	48.4	1470.0	2940.1	117.604	0.423	1.461	55.735	609.113	2024	3	22	23	19	1
365131	25.0	3	0.061	1711149605.519	1206.9	3620.6	68.1	847.0	2541.0	101.64	0.366	1.852	51.784	609.192	2024	3	22	23	20	5
365140	25.0	1	0.02	1711149797.42	1865.0	1865.0	66.6	1308.9	1308.9	52.356	0.188	2.49	39.94	609.648	2024	3	22	23	23	17
365149	25.0	1	0.02	1711149989.419	4378.5	4378.5	82.6	3072.9	3072.9	122.916	0.442	2.697	28.075	610.379	2024	3	22	23	26	29
365161	25.0	1	0.02	1711150245.42	702.7	702.7	27.0	493.2	493.2	19.728	0.071	2.677	12.247	611.603	2024	3	22	23	30	45
365173	25.0	1	0.02	1711150501.42	2818.5	2818.5	78.3	1978.0	1978.0	79.12	0.285	2.535	-3.581	612.898	2024	3	22	23	35	1
365176	25.0	1	0.02	1711150565.42	592.0	592.0	59.2	415.5	415.5	16.62	0.06	2.499	-7.537	613.218	2024	3	22	23	36	5
365182	25.0	2	0.04	1711150693.42	7463.1	14926.1	53.7	5237.6	10475.2	419.008	1.508	2.442	-15.448	613.843	2024	3	22	23	38	13
365185	25.0	6	0.121	1711150757.42	2422.0	14531.9	52.2	1699.8	10198.6	407.944	1.469	2.427	-19.402	614.145	2024	3	22	23	39	17
365197	2.569	37	7.274	1711151013.42	2764.5	102287.4	67.1	1940.2	71785.9	27943.13	100.595	2.53	-35.207	615.326	2024	3	22	23	43	33
365200	6.745	31	2.321	1711151077.42	3080.9	95508.7	73.7	2162.2	67028.5	9937.509	35.775	2.624	-39.155	615.619	2024	3	22	23	44	37
365203	20.014	13	0.328	1711151141.42	3101.5	40319.0	71.3	2176.6	28296.1	1413.815	5.09	2.76	-43.101	615.908	2024	3	22	23	45	41
365206	25.0	1	0.02	1711151205.419	2429.7	2429.7	54.0	1705.2	1705.2	68.208	0.246	2.953	-47.044	616.2	2024	3	22	23	46	45
365209	25.0	2	0.04	1711151269.42	4510.8	9021.6	54.4	3165.7	6331.4	253.256	0.912	3.218	-50.985	616.501	2024	3	22	23	47	49
365220	22.425	1	0.023	1711151526.42	2408.7	2408.7	39.5	1690.4	1690.4	75.38	0.271	5.798	-66.758	617.783	2024	3	22	23	52	6
365232	25.0	4	0.081	1711151782.419	1702.0	6808.0	51.9	1194.5	4777.9	191.116	0.688	21.559	-82.067	619.229	2024	3	22	23	56	22
365244	25.0	1	0.02	1711152038.419	2223.4	2223.4	51.7	1560.4	1560.4	62.416	0.225	154.911	-80.796	620.821	2024	3	23	0	0	38
365247	25.0	1	0.02	1711152102.419	5626.6	5626.6	79.2	3948.8	3948.8	157.952	0.569	161.041	-77.038	621.234	2024	3	23	0	1	42
365253	25.0	3	0.061	1711152230.419	1409.6	4228.9	56.8	989.3	2967.9	118.716	0.427	166.264	-69.31	622.051	2024	3	23	0	3	50
365256	24.684	1	0.02	1711152294.419	1143.1	1143.1	76.2	802.2	802.2	32.499	0.117	167.549	-65.407	622.45	2024	3	23	0	4	54
365259	25.0	1	0.02	1711152358.419	1875.8	1875.8	69.5	1316.4	1316.4	52.656	0.19	168.431	-61.492	622.839	2024	3	23	0	5	58
365262	25.0	2	0.04	1711152422.419	2652.7	5305.5	63.8	1861.7	3723.4	148.936	0.536	169.056	-57.571	623.214	2024	3	23	0	7	2
365265	25.0	1	0.02	1711152486.419	9875.7	9875.7	74.8	6930.8	6930.8	277.232	0.998	169.506	-53.644	623.568	2024	3	23	0	8	6
365268	25.0	3	0.061	1711152550.419	770.2	2310.6	58.9	540.5	1621.6	64.864	0.234	169.834	-49.714	623.894	2024	3	23	0	9	10
365271	25.0	1	0.02	1711152614.419	11849.0	11849.0	38.7	8315.7	8315.7	332.628	1.197	170.073	-45.781	624.19	2024	3	23	0	10	14
365274	25.0	3	0.061	1711152678.419	1657.5	4972.5	53.1	1163.2	3489.7	139.588	0.503	170.245	-41.846	624.454	2024	3	23	0	11	18
365277	25.0	1	0.02	1711152742.419	2947.1	2947.1	39.8	2068.3	2068.3	82.732	0.298	170.365	-37.91	624.676	2024	3	23	0	12	22
365286	25.0	1	0.02	1711152934.419	2633.9	2633.9	97.6	1848.5	1848.5	73.94	0.266	170.523	-26.094	625.076	2024	3	23	0	15	34
365289	25.0	1	0.02	1711152998.419	339.4	339.4	33.9	238.2	238.2	9.528	0.034	170.53	-22.153	625.11	2024	3	23	0	16	38
365298	25.0	1	0.02	1711153190.419	999.3	999.3	58.8	701.3	701.3	28.052	0.101	170.474	-10.328	624.856	2024	3	23	0	19	50
365319	25.0	1	0.02	1711153638.419	354.4	354.4	59.1	248.7	248.7	9.948	0.036	170.238	17.279	622.259	2024	3	23	0	27	18
365322	25.0	1	0.02	1711153702.419	578.3	578.3	26.3	405.9	405.9	16.236	0.058	170.227	21.224	621.696	2024	3	23	0	28	22
365334	25.0	1	0.02	1711153958.419	2189.0	2189.0	59.2	1536.3	1536.3	61.452	0.221	170.37	37.002	619.054	2024	3	23	0	32	38
365340	25.0	1	0.02	1711154086.419	1440.1	1440.1	80.0	1010.7	1010.7	40.428	0.146	170.642	44.887	617.612	2024	3	23	0	34	46
365346	25.0	1	0.02	1711154214.419	4575.8	4575.8	44.9	3211.3	3211.3	128.452	0.462	171.171	52.768	616.153	2024	3	23	0	36	54
365349	25.0	1	0.02	1711154278.419	594.6	594.6	66.1	417.3	417.3	16.692	0.06	171.592	56.704	615.434	2024	3	23	0	37	58
365357	25.0	1	0.02	1711154470.419	2918.6	2918.6	51.2	2048.3	2048.3	81.932	0.295	174.178	68.477	613.394	2024	3	23	0	41	10
365360	25.0	1	0.02	1711154534.42	2095.9	2095.9	56.6	1470.9	1470.9	58.836	0.212	175.972	72.375	612.775	2024	3	23	0	42	14
365363	25.0	2	0.04	1711154598.42	1075.1	2150.2	52.4	754.5	1509.0	60.36	0.217	178.888	76.24	612.195	2024	3	23	0	43	18
365369	25.0	1	0.02	1711154726.421	278.8	278.8	46.5	195.7	195.7	7.828	0.028	-164.013	83.627	611.155	2024	3	23	0	45	26
365384	25.0	1	0.02	1711155046.419	2198.4	2198.4	64.7	1542.8	1542.8	61.712	0.222	-29.14	74.931	609.436	2024	3	23	0	50	46
365387	25.0	1	0.02	1711155110.419	2024.0	2024.0	43.1	1420.5	1420.5	56.82	0.205	-26.814	71.292	609.273	2024	3	23	0	51	50
365390	25.0	1	0.02	1711155174.419	616.3	616.3	56.0	432.5	432.5	17.3	0.062	-25.305	67.628	609.161	2024	3	23	0	52	54
365393	25.0	1	0.02	1711155239.519	733.5	733.5	81.5	514.8	514.8	20.592	0.074	-24.271	63.951	609.085	2024	3	23	0	53	59
365426	25.0	1	0.02	1711155942.419	4246.4	4246.4	34.2	2980.1	2980.1	119.204	0.429	-21.649	19.515	610.942	2024	3	23	1	5	42
365429	25.0	1	0.02	1711156006.419	408.8	408.8	45.4	286.9	286.9	11.476	0.041	-21.663	15.805	611.23	2024	3	23	1	6	46
365435	25.0	1	0.02	1711156134.419	763.2	763.2	69.4	535.6	535.6	21.424	0.077	-21.714	8.385	611.82	2024	3	23	1	8	54
365438	25.0	1	0.02	1711156198.419	1360.8	1360.8	68.0	955.0	955.0	38.2	0.138	-21.747	4.675	612.122	2024	3	23	1	9	58
365476	25.0	14	0.283	1711157030.42	2090.5	29267.2	67.7	1467.1	20539.9	821.596	2.958	-21.4	-47.197	616.115	2024	3	23	1	23	50
365479	25.0	4	0.081	1711157094.42	1827.0	7307.9	66.4	1282.2	5128.7	205.148	0.739	-21.151	-50.891	616.403	2024	3	23	1	24	54
365482	25.0	3	0.061	1711157158.42	2717.0	8151.1	57.1	1906.8	5720.5	228.82	0.824	-20.815	-54.582	616.689	2024	3	23	1	25	58
365512	25.0	1	0.02	1711157803.22	585.8	585.8	53.3	411.1	411.1	16.444	0.059	120.609	-83.603	620.483	2024	3	23	1	36	43
365515	25.0	3	0.061	1711157862.42	804.2	2412.5	62.0	564.4	1693.1	67.724	0.244	131.781	-80.249	620.876	2024	3	23	1	37	42
365521	25.0	4	0.081	1711157990.419	3226.6	12906.3	57.0	2264.4	9057.7	362.308	1.304	139.992	-73.102	621.652	2024	3	23	1	39	50
365524	25.0	2	0.04	1711158054.419	6102.8	12205.5	59.1	4283.0	8565.9	342.636	1.233	141.841	-69.462	622.046	2024	3	23	1	40	54
365527	25.0	1	0.02	1711158118.419	1331.7	1331.7	66.6	934.6	934.6	37.384	0.135	143.079	-65.804	622.43	2024	3	23	1	41	58
365560	25.0	1	0.02	1711158822.42	5012.6	5012.6	42.1	3517.9	3517.9	140.716	0.507	146.167	-21.569	625.196	2024	3	23	1	53	42
365572	25.0	1	0.02	1711159078.419	427.1	427.1	53.4	299.7	299.7	11.988	0.043	146.081	-6.787	624.785	2024	3	23	1	57	58
365608	25.0	1	0.02	1711159847.419	1281.6	1281.6	67.5	899.4	899.4	35.976	0.13	146.132	41.281	618.357	2024	3	23	2	10	47
365611	25.0	1	0.02	1711159911.419	691.9	691.9	57.7	485.6	485.6	19.424	0.07	146.284	44.977	617.673	2024	3	23	2	11	51
365614	25.0	1	0.02	1711159975.419	19901.2	19901.2	68.6	13966.8	13966.8	558.672	2.011	146.492	48.672	616.981	2024	3	23	2	12	55
365617	25.0	1	0.02	1711160039.42	9320.8	9320.8	83.2	6541.4	6541.4	261.656	0.942	146.773	52.364	616.286	2024	3	23	2	13	59
365623	25.0	1	0.02	1711160167.42	11019.3	11019.3	34.8	7733.4	7733.4	309.336	1.114	147.822	60.689	614.767	2024	3	23	2	16	7
365629	22.754	3	0.067	1711160295.419	7962.9	23888.7	65.6	5588.4	16765.2	736.802	2.652	149.837	68.53	613.413	2024	3	23	2	18	15
365632	25.0	2	0.04	1711160359.42	956.6	1913.2	54.6	671.4	1342.7	53.708	0.193	151.641	72.427	612.784	2024	3	23	2	19	19
365638	25.0	1	0.02	1711160487.419	1931.4	1931.4	71.5	1355.5	1355.5	54.22	0.195	159.934	80.085	611.642	2024	3	23	2	21	27
365641	25.0	4	0.081	1711160551.42	2518.5	10073.9	54.0	1767.5	7069.9	282.796	1.018	171.847	83.673	611.139	2024	3	23	2	22	31
365644	25.0	6	0.121	1711160615.419	1539.7	9237.9	65.2	1080.5	6483.2	259.328	0.934	-153.228	86.382	610.683	2024	3	23	2	23	35
365647	23.903	1	0.021	1711160679.419	5472.6	5472.6	35.5	3840.7	3840.7	160.679	0.578	-92.943	85.824	610.281	2024	3	23	2	24	39
365650	6.253	1	0.081	1711160743.419	837.0	837.0	76.1	587.4	587.4	93.939	0.338	-65.714	82.236	609.887	2024	3	23	2	25	43
365653	25.0	5	0.101	1711160807.519	1027.6	5138.0	59.8	721.2	3605.9	144.236	0.519	-57.774	78.768	609.614	2024	3	23	2	26	47
365656	25.0	2	0.04	1711160871.519	2604.1	5208.2	60.6	1827.6	3655.1	146.204	0.526	-53.71	75.18	609.39	2024	3	23	2	27	51
365659	25.0	3	0.061	1711160935.42	2469.9	7409.6	48.9	1733.4	5200.1	208.004	0.749	-51.306	71.544	609.218	2024	3	23	2	28	55
365662	25.0	1	0.02	1711160999.42	773.7	773.7	27.6	543.0	543.0	21.72	0.078	-49.755	67.881	609.089	2024	3	23	2	29	59
365698	25.0	2	0.04	1711161767.419	9721.4	19442.8	72.8	6822.6	13645.1	545.804	1.965	-46.01	19.77	610.81	2024	3	23	2	42	47
365704	25.0	1	0.02	1711161895.42	1487.2	1487.2	92.9	1043.7	1043.7	41.748	0.15	-46.045	12.349	611.401	2024	3	23	2	44	55
365761	2.294	24	5.284	1711162855.419	4233.1	101595.0	71.6	2970.8	71299.9	31081.037	111.892	-45.775	-46.944	616.143	2024	3	23	3	0	55
365797	25.0	5	0.101	1711163624.419	3861.7	19308.4	57.6	2710.1	13550.7	542.028	1.951	95.032	-83.818	620.623	2024	3	23	3	13	44
365800	25.0	4	0.081	1711163688.419	3372.4	13489.7	65.2	2366.8	9467.1	378.684	1.363	106.906	-80.487	621.014	2024	3	23	3	14	48
365803	25.0	1	0.02	1711163752.419	375.0	375.0	53.6	263.2	263.2	10.528	0.038	112.406	-76.956	621.416	2024	3	23	3	15	52
365806	25.0	5	0.101	1711163816.419	2086.9	10434.4	60.0	1464.6	7322.9	292.916	1.054	115.469	-73.352	621.816	2024	3	23	3	16	56
365809	25.0	3	0.061	1711163880.419	1154.7	3464.1	59.4	810.4	2431.1	97.244	0.35	117.374	-69.713	622.208	2024	3	23	3	18	0
365842	25.0	1	0.02	1711164584.419	402.7	402.7	57.5	282.6	282.6	11.304	0.041	121.801	-25.52	625.339	2024	3	23	3	29	44
