Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365203	20.014	66	1.666	1711151141.42	683.0	45080.9	34.1	479.4	31638.0	1580.793	5.691	2.76	-43.101	615.908	2024	3	22	23	45	41
365206	25.0	48	0.97	1711151205.419	205.3	9853.4	27.9	144.1	6915.2	276.608	0.996	2.953	-47.044	616.2	2024	3	22	23	46	45
365209	25.0	42	0.848	1711151269.42	337.5	14177.0	28.7	236.9	9949.5	397.98	1.433	3.218	-50.985	616.501	2024	3	22	23	47	49
365212	25.0	4	0.081	1711151333.419	162.4	649.7	18.8	114.0	456.0	18.24	0.066	3.583	-54.922	616.807	2024	3	22	23	48	53
365217	13.832	423	15.445	1711151462.52	55.3	23409.5	25.3	38.8	16428.9	1187.746	4.276	4.798	-62.848	617.448	2024	3	22	23	51	2
365220	22.425	487	10.968	1711151526.42	71.8	34964.7	25.1	50.4	24538.4	1094.243	3.939	5.798	-66.758	617.783	2024	3	22	23	52	6
365223	25.0	118	2.384	1711151590.419	70.6	8328.9	26.2	49.5	5845.3	233.812	0.842	7.281	-70.66	618.127	2024	3	22	23	53	10
365226	10.298	21	1.03	1711151654.42	244.2	5127.2	22.3	171.3	3598.3	349.417	1.258	9.603	-74.536	618.483	2024	3	22	23	54	14
365229	25.0	6	0.121	1711151718.42	311.7	1870.4	36.8	218.8	1312.7	52.508	0.189	13.596	-78.362	618.845	2024	3	22	23	55	18
365232	25.0	30	0.606	1711151782.419	391.5	11745.8	25.0	274.8	8243.3	329.732	1.187	21.559	-82.067	619.229	2024	3	22	23	56	22
365235	25.0	23	0.465	1711151846.419	321.2	7387.6	27.8	225.4	5184.7	207.388	0.747	42.289	-85.345	619.613	2024	3	22	23	57	26
365238	25.0	21	0.424	1711151910.419	350.4	7358.7	24.1	245.9	5164.4	206.576	0.744	98.155	-86.604	620.012	2024	3	22	23	58	30
365241	25.0	21	0.424	1711151974.419	306.8	6442.0	23.6	215.3	4521.0	180.84	0.651	140.616	-84.296	620.416	2024	3	22	23	59	34
365244	25.0	14	0.283	1711152038.419	358.6	5020.4	28.3	251.7	3523.3	140.932	0.507	154.911	-80.796	620.821	2024	3	23	0	0	38
365247	25.0	15	0.303	1711152102.419	846.3	12693.9	31.6	593.9	8908.7	356.348	1.283	161.041	-77.038	621.234	2024	3	23	0	1	42
365250	25.0	15	0.303	1711152166.419	274.2	4113.2	29.3	192.4	2886.7	115.468	0.416	164.294	-73.192	621.644	2024	3	23	0	2	46
