Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365077	25.0	11	0.222	1711148453.419	465.9	5125.1	28.7	327.0	3596.8	143.872	0.518	-164.051	56.651	615.395	2024	3	22	23	0	53
365080	25.0	26	0.525	1711148517.42	257.6	6697.2	30.5	180.8	4700.1	188.004	0.677	-163.471	60.583	614.697	2024	3	22	23	1	57
365083	16.456	9	0.276	1711148581.419	269.1	2422.0	33.0	188.9	1699.8	103.294	0.372	-162.656	64.509	614.021	2024	3	22	23	3	1
365086	25.0	25	0.505	1711148645.419	529.0	13226.1	23.7	371.3	9282.2	371.288	1.337	-161.476	68.424	613.37	2024	3	22	23	4	5
365089	25.0	12	0.242	1711148709.419	296.7	3559.8	28.3	208.2	2498.3	99.932	0.36	-159.693	72.323	612.75	2024	3	22	23	5	9
365092	25.0	12	0.242	1711148773.419	443.4	5321.2	23.7	311.2	3734.4	149.376	0.538	-156.8	76.189	612.175	2024	3	22	23	6	13
365095	25.0	17	0.343	1711148837.419	342.6	5824.2	28.0	240.4	4087.5	163.5	0.589	-151.53	79.984	611.636	2024	3	22	23	7	17
365098	25.0	10	0.202	1711148901.419	283.1	2831.2	25.4	198.7	1987.0	79.48	0.286	-139.937	83.582	611.144	2024	3	22	23	8	21
365101	25.0	13	0.263	1711148965.419	366.2	4760.9	29.4	257.0	3341.2	133.648	0.481	-105.963	86.334	610.703	2024	3	22	23	9	25
365104	25.0	26	0.525	1711149029.419	387.9	10084.6	25.6	272.2	7077.4	283.096	1.019	-45.446	85.885	610.313	2024	3	22	23	10	29
365107	25.0	16	0.323	1711149093.419	558.5	8936.7	23.0	392.0	6271.8	250.872	0.903	-19.15	82.806	609.976	2024	3	22	23	11	33
365110	25.0	8	0.162	1711149157.419	336.1	2689.1	29.5	235.9	1887.2	75.488	0.272	-9.653	79.139	609.686	2024	3	22	23	12	37
365113	25.0	14	0.283	1711149221.42	337.1	4719.9	24.0	236.6	3312.5	132.5	0.477	-5.105	75.319	609.461	2024	3	22	23	13	41
365116	25.0	13	0.263	1711149285.419	220.8	2870.4	23.8	155.0	2014.5	80.58	0.29	-2.532	71.44	609.291	2024	3	22	23	14	45
365119	25.0	6	0.121	1711149349.419	554.3	3325.9	28.4	389.0	2334.1	93.364	0.336	-0.914	67.533	609.168	2024	3	22	23	15	49
365122	25.0	6	0.121	1711149413.419	374.2	2245.0	24.0	262.6	1575.6	63.024	0.227	0.168	63.609	609.098	2024	3	22	23	16	53
365125	25.0	21	0.424	1711149477.419	310.3	6515.9	28.1	217.8	4572.9	182.916	0.658	0.922	59.676	609.084	2024	3	22	23	17	57
365128	25.0	13	0.263	1711149541.419	555.0	7214.9	22.2	389.5	5063.5	202.54	0.729	1.461	55.735	609.113	2024	3	22	23	19	1
365131	25.0	23	0.465	1711149605.519	317.9	7311.1	26.3	223.1	5131.0	205.24	0.739	1.852	51.784	609.192	2024	3	22	23	20	5
365134	25.0	11	0.222	1711149669.419	240.4	2644.7	30.8	168.7	1856.1	74.244	0.267	2.136	47.843	609.307	2024	3	22	23	21	9
365140	25.0	6	0.121	1711149797.42	273.4	1640.2	25.2	191.8	1151.1	46.044	0.166	2.49	39.94	609.648	2024	3	22	23	23	17
365143	25.0	5	0.101	1711149861.419	284.1	1420.5	27.2	199.4	996.9	39.876	0.144	2.592	35.986	609.871	2024	3	22	23	24	21
365146	25.0	8	0.162	1711149925.419	336.8	2694.3	24.1	236.4	1890.9	75.636	0.272	2.658	32.031	610.116	2024	3	22	23	25	25
