0,1,2,3,4,5,6,7
e,---,-2013.00,,,,,
.,e,---,05.,2024,,,
e,1,.,1.008,,,,
e,e,2.3212E+00,3,4.9770E+22,3,,
14,100.00,100.00,,,,,
e,0.00,,,,,,
e,2,,,,,,
9.00,e,3.771E-02,1.961E-05,590.78,27.36,26.64,
10.00,e,3.479E-02,1.786E-05,709.23,32.70,31.70,
11.00,e,3.233E-02,1.641E-05,837.16,38.04,37.14,
12.00,e,3.023E-02,1.518E-05,974.42,43.42,42.94,
13.00,e,2.841E-02,1.414E-05,1.12,48.89,49.09,
14.00,e,2.682E-02,1.323E-05,1.28,54.44,55.59,
15.00,e,2.542E-02,1.244E-05,1.44,60.08,62.44,
16.00,e,2.417E-02,1.174E-05,1.61,65.83,69.62,
17.00,e,2.305E-02,1.112E-05,1.80,71.69,77.13,
18.00,e,2.204E-02,1.057E-05,1.99,77.65,84.97,
20.00,e,2.029E-02,9.614E-06,2.39,98.57,101.63,
22.50,e,1.850E-02,8.650E-06,2.95,128.36,124.21,
25.00,e,1.703E-02,7.868E-06,3.55,156.85,148.71,
27.50,e,1.580E-02,7.221E-06,4.20,184.92,175.06,
30.00,e,1.476E-02,6.677E-06,4.91,212.98,203.23,
32.50,e,1.386E-02,6.212E-06,5.66,241.23,233.17,
35.00,e,1.307E-02,5.810E-06,6.46,269.80,264.83,
35.50,e,1.293E-02,5.736E-06,6.62,271.61,271.36,
2.3211E+01,e,,,,,,
2.3211E+02,e,,,,,,
2.3211E+02,e,,,,,,
1.0000E+00,e,2,,,,,
1.0000E+00,e,2,,,,,
1.0000E+03,e,2,,,,,
4.6637E+01,e,1E15,2,,,,
2.9650E+01,.,.,.,e,e,,
1984.1989.1992.1998.2008,.,.,e,.,.,e,e
