Quantity	[Unit]	Value
date	[YY:MM:DD]	2024:03:24
UTC start	[YY:MM:DD:hh:mm:ss]	2024-03-23 23:06:43.420000076
UTC end	[YY:MM:DD:hh:mm:ss]	2024-03-24 22:01:26.420000076
unix time start	[sec]	1711235203.42
unix time end	[sec]	1711317686.42
GPS orbit alt min	[km]	608.1
GPS orbit alt max	[km]	625.8
Elapsed Time	[DD:HH:MM:SS]	0 days 22:54:43
Elapsed Time	[sec]	82483.0
MPX live time	[sec]	7341.4
num of MPX frames	[#]	336
Particles: all	[#]	13209
Particles: 1	[#]	2473
Particles: 2	[#]	3149
Particles: 3	[#]	7580
Flux Mean all	[#/cm2/s]	1.312
Flux Mean 1	[#/cm2/s]	0.703
Flux Mean 2	[#/cm2/s]	0.252
Flux Mean 3	[#/cm2/s]	0.252
Dose_sum_all_live_t	[uGy]	6.309
Dose_sum_1_live_t	[uGy]	5.347
Dose_sum_2_live_t	[uGy]	0.76
Dose_sum_3_live_t	[uGy]	0.196
Dose_sum_all_elap_t	[uGy]	70.884
Dose_sum_1_elap_t	[uGy]	60.075
Dose_sum_2_elap_t	[uGy]	8.539
Dose_sum_3_elap_t	[uGy]	2.202
DR_mean_all	[uGy/h]	7.12
DR_mean_1	[uGy/h]	10.995
DR_mean_2	[uGy/h]	0.428
DR_mean_3	[uGy/h]	0.124
