Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
368017	25.0	6	0.12121212121212122	1711235203.419	299.4	1796.3	19.7	210.1	1260.7	50.428	0.182	-170.836	19.506	621.944
368020	25.0	1	0.020202020202020204	1711235267.419	223.7	223.7	55.9	157.0	157.0	6.28	0.023	-170.84	22.86	621.416
368646	4.486	3	0.33775111795620044	1711248198.42	213.8	641.5	15.7	150.1	450.2	100.357	0.361	-60.71	76.829	609.007
368655	4.976	1	0.10149728799246484	1711248391.419	362.8	362.8	36.3	254.6	254.6	51.166	0.184	-54.484	65.609	608.522
368667	23.11	10	0.21854197535720687	1711248647.4189994	196.2	1962.4	27.2	137.7	1377.2	59.593	0.215	-52.149	49.851	608.58
368670	25.0	11	0.2222222222222222	1711248711.42	733.4	8067.3	21.3	514.7	5661.7	226.468	0.815	-51.905	45.901	608.708
368673	25.0	8	0.16161616161616163	1711248775.42	390.9	3127.5	27.8	274.4	2194.9	87.796	0.316	-51.73	41.949	608.876
368894	25.0	14	0.2828282828282828	1711253256.4190001	335.4	4695.4	22.2	235.4	3295.3	131.812	0.475	117.268	55.216	615.512
368897	25.0	5	0.10101010101010101	1711253320.419	336.8	1683.8	24.8	236.3	1181.7	47.268	0.17	117.705	58.628	614.855
368900	25.0	5	0.10101010101010101	1711253384.42	377.2	1886.2	26.4	264.7	1323.7	52.948	0.191	118.392	62.557	614.119
368903	5.718	7	0.6182849834476277	1711253448.4190001	281.0	1967.0	33.9	197.2	1380.5	241.431	0.869	119.37	66.479	613.407
368911	3.954	2	0.25546307792134804	1711253640.419	555.0	1110.0	34.9	389.5	779.0	197.016	0.709	126.906	78.111	611.486
368917	5.412	8	0.7465639394685958	1711253768.419	427.2	3417.4	29.5	299.8	2398.4	443.163	1.595	153.842	85.173	610.422
368920	3.242	2	0.31156724555860893	1711253832.419	413.0	826.0	34.1	289.8	579.7	178.809	0.644	-152.066	86.642	609.972
369299	25.0	7	0.1414141414141414	1711261770.4189994	254.8	1783.6	24.2	178.8	1251.7	50.068	0.18	-100.182	-41.269	615.873
369472	25.0	2	0.04040404040404041	1711265355.419	263.4	526.8	27.3	184.8	369.7	14.788	0.053	87.761	82.432	610.891
369499	6.447	6	0.4700330433229456	1711265803.419	321.3	1927.6	28.4	225.5	1352.8	209.834	0.755	-128.601	68.783	608.697
369502	4.648	9	0.9779377249256768	1711265867.419	212.8	1915.4	19.2	149.4	1344.2	289.2	1.041	-127.44	65.108	608.614
369505	4.237	5	0.5960001239680258	1711265931.419	638.1	3190.3	36.1	447.8	2239.0	528.44	1.902	-126.623	61.423	608.579
369543	25.0	5	0.10101010101010101	1711266763.419	257.6	1288.0	20.1	180.8	903.9	36.156	0.13	-124.582	9.546	611.522
369546	25.0	4	0.08080808080808081	1711266827.419	123.5	494.1	24.7	86.7	346.8	13.872	0.05	-124.614	5.836	611.856
369552	25.0	2	0.04040404040404041	1711266955.419	177.1	354.3	24.4	124.3	248.6	9.944	0.036	-124.684	-1.583	612.535
369587	25.0	15	0.30303030303030304	1711267724.4189992	417.2	6258.6	22.4	292.8	4392.3	175.692	0.632	-124.112	-49.734	616.635
