Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
369988	3.259	20	3.0994200984995706	1711282733.4209998	2534.5	50689.4	70.9	1778.7	35574.1	10915.649	39.296	3.151	76.467	611.456
369994	7.6	46	3.056884635832004	1711282861.4210002	4110.1	189066.8	80.2	2884.5	132688.1	17458.961	62.852	21.102	83.828	610.371
370000	5.674	35	3.115397898619612	1711282989.4210002	2737.1	95799.4	66.5	1920.9	67232.6	11849.242	42.657	117.365	85.709	609.487
370003	6.049	36	3.0057560227836304	1711283053.4200003	3379.9	121677.0	75.3	2372.0	85393.6	14116.978	50.821	141.273	82.627	609.143
370033	25.0	2	0.04040404040404041	1711283693.42	597.4	1194.9	66.4	419.3	838.6	33.544	0.121	162.031	43.68	608.646
370036	25.0	1	0.020202020202020204	1711283757.419	11779.6	11779.6	76.0	8267.0	8267.0	330.68	1.19	162.168	39.974	608.843
370039	25.0	1	0.020202020202020204	1711283821.419	192.2	192.2	38.4	134.9	134.9	5.396	0.019	162.265	36.266	609.074
370105	25.0	12	0.24242424242424243	1711285229.419	2028.9	24346.7	73.3	1423.9	17086.7	683.468	2.46	162.957	-51.742	616.805
370108	5.744	36	3.165358318561661	1711285293.4190004	3602.5	129691.1	75.2	2528.3	91017.9	15845.735	57.045	163.293	-55.228	617.119
370123	8.523	47	2.7850960621111973	1711285614.4190001	3280.2	154168.1	76.7	2302.0	108196.0	12694.591	45.701	169.392	-74.688	618.994
370126	9.814	47	2.4187256712221052	1711285678.4190001	3630.1	170617.0	77.3	2547.7	119740.0	12200.937	43.923	173.135	-78.275	619.367
370162	25.0	2	0.04040404040404041	1711286382.419	1000.5	2001.0	25.4	702.2	1404.3	56.172	0.202	-31.149	-56.689	623.986
370170	6.962	26	1.8861409266465288	1711286574.4190001	3248.6	84462.6	73.4	2279.9	59276.3	8514.263	30.651	-30.24	-45.637	624.85
370173	1.972	26	6.658880898231811	1711286638.4190001	2196.0	57095.6	69.0	1541.2	40070.0	20319.473	73.15	-30.079	-41.949	625.075
370222	19.747	3	0.07672818732726566	1711287342.4190001	3372.6	10117.9	69.8	2366.9	7100.8	359.589	1.295	-29.967	2.378	624.222
370234	25.0	1	0.020202020202020204	1711287598.419	1062.9	1062.9	25.9	745.9	745.9	29.836	0.107	-30.083	17.169	622.31
370267	25.0	21	0.42424242424242425	1711288302.4190001	2461.6	51693.8	69.3	1727.6	36279.0	1451.16	5.224	-27.99	61.512	614.029
370273	5.88	28	2.405002405002405	1711288430.4200003	2883.7	80744.5	73.3	2023.8	56666.9	9637.228	34.694	-26.001	68.861	612.695
370276	9.617	41	2.1531736203671317	1711288494.42	3155.9	129392.8	76.9	2214.8	90808.6	9442.508	33.993	-24.271	72.514	612.071
370279	5.55	31	2.8210028210028213	1711288558.4200003	3005.8	93178.7	74.8	2109.5	65393.3	11782.577	42.417	-21.539	76.139	611.492
370317	25.0	1	0.020202020202020204	1711289391.419	779.9	779.9	60.0	547.3	547.3	21.892	0.079	137.207	51.336	608.234
370320	25.0	1	0.020202020202020204	1711289455.419	631.3	631.3	57.4	443.0	443.0	17.72	0.064	137.467	47.633	608.366
370401	6.369	32	2.5375437528051754	1711291183.419	3010.7	96342.9	74.9	2112.9	67614.0	10616.109	38.218	139.552	-59.812	617.477
370404	12.675	41	1.633693941386249	1711291247.419	3724.7	152712.5	77.0	2614.0	107174.5	8455.582	30.44	140.256	-63.49	617.823
370410	5.145	20	1.9632672693897186	1711291375.4199998	2889.4	57787.4	72.2	2027.8	40555.5	7882.507	28.377	142.672	-70.816	618.555
370445	25.0	3	0.06060606060606061	1711292143.419	579.8	1739.3	49.4	406.9	1220.7	48.828	0.176	-56.091	-60.609	623.736
370456	8.474	38	2.264800471078498	1711292399.4189994	3965.5	150688.3	70.0	2783.0	105753.9	12479.809	44.927	-54.615	-45.881	624.975
370515	25.0	2	0.04040404040404041	1711293360.42	727.3	1454.6	46.4	510.4	1020.8	40.832	0.147	-54.422	13.223	623.075
370550	9.32	14	0.7586595569428187	1711294128.4190001	3344.9	46828.5	74.0	2347.5	32864.5	3526.234	12.694	-52.396	61.263	614.212
370553	11.653	27	1.1702019768612062	1711294192.4189992	3541.8	95628.5	74.2	2485.7	67112.6	5759.255	20.733	-51.593	64.942	613.526
370559	18.619	44	1.1935239391064085	1711294320.4189994	3868.5	170213.6	75.9	2714.9	119456.9	6415.86	23.097	-48.772	72.268	612.238
370571	15.278	37	1.2231227049920597	1711294576.4200006	3093.1	114445.9	72.1	2170.8	80318.8	5257.154	18.926	11.952	86.502	609.931
370574	11.48	27	1.1878365536902122	1711294640.4200006	3061.0	82647.5	77.7	2148.2	58002.5	5052.483	18.189	70.455	85.595	609.508
370577	11.48	30	1.3198183929891247	1711294704.4210005	4254.4	127630.7	70.5	2985.7	89571.9	7802.43	28.089	93.402	82.386	609.136
370592	18.513	21	0.5728979963301791	1711295024.419	2928.0	61487.6	70.2	2054.9	43152.3	2330.919	8.391	111.326	62.673	608.161
370595	14.114	7	0.2504855841967929	1711295088.4190001	2553.2	17872.6	63.8	1791.9	12543.1	888.699	3.199	111.984	58.983	608.149
370598	25.0	2	0.04040404040404041	1711295152.419	1357.0	2714.1	59.1	952.4	1904.8	76.192	0.274	112.466	55.287	608.176
370604	25.0	2	0.04040404040404041	1711295280.419	4971.3	9942.6	61.2	3488.9	6977.8	279.112	1.005	113.088	47.885	608.365
370643	25.0	1	0.020202020202020204	1711296112.419	503.0	503.0	100.6	353.0	353.0	14.12	0.051	113.487	-4.044	612.406
370646	25.0	2	0.04040404040404041	1711296176.419	1701.8	3403.6	36.0	1194.4	2388.7	95.548	0.344	113.454	-7.753	612.75
370682	20.014	20	0.504697216998606	1711296944.419	2846.9	56937.6	75.8	1998.0	39959.1	1996.557	7.188	114.649	-55.876	617.109
370688	25.0	12	0.24242424242424243	1711297073.419	2945.8	35349.2	80.7	2067.4	24808.3	992.332	3.572	115.843	-63.24	617.823
370691	25.0	25	0.5050505050505051	1711297137.419	2730.3	68258.6	77.4	1916.2	47904.3	1916.172	6.898	116.807	-66.91	618.188
