Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
369722	25.0	20	0.40404040404040403	1711270604.4189994	334.1	6681.2	24.4	234.4	4688.9	187.556	0.675	43.544	47.501	616.801
369725	25.0	8	0.16161616161616163	1711270668.419	316.4	2531.4	30.0	222.1	1776.6	71.064	0.256	43.799	51.196	616.077
369728	25.0	15	0.30303030303030304	1711270732.4200006	307.8	4616.6	26.7	216.0	3240.0	129.6	0.467	44.144	54.887	615.372
369731	25.0	36	0.7272727272727273	1711270796.4189994	298.5	10746.9	28.8	209.5	7542.2	301.688	1.086	44.609	58.576	614.68
369734	1.0	1	0.5050505050505051	1711270860.419	40.9	40.9	20.4	28.7	28.7	28.7	0.103	45.242	62.26	614.002
369758	25.0	14	0.2828282828282828	1711277868.4200003	260.6	3648.7	22.5	182.9	2560.7	102.428	0.369	-173.598	43.432	608.818
369761	1.0	1	0.5050505050505051	1711277932.42	51.2	51.2	17.1	35.9	35.9	35.9	0.129	-173.464	39.725	609.014
369764	25.0	6	0.12121212121212122	1711277996.4190001	503.0	3017.8	28.2	353.0	2117.9	84.716	0.305	-173.369	36.018	609.236
369800	25.0	6	0.12121212121212122	1711278764.4190001	125.0	749.8	33.9	87.7	526.2	21.048	0.076	-173.498	-12.208	613.412
369803	25.0	3	0.06060606060606061	1711278828.42	182.2	546.6	25.4	127.9	383.6	15.344	0.055	-173.521	-15.916	613.742
369806	25.0	3	0.06060606060606061	1711278892.4189994	72.4	217.1	17.5	50.8	152.4	6.096	0.022	-173.535	-19.622	614.068
369809	25.0	13	0.26262626262626265	1711278956.4189994	311.0	4043.5	24.1	218.3	2837.8	113.512	0.409	-173.537	-23.329	614.393
