Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
368017	25.0	2	0.04040404040404041	1711235203.419	9.5	18.9	9.5	6.6	13.3	0.532	0.002	-170.836	19.506	621.944
368020	25.0	3	0.06060606060606061	1711235267.419	8.5	25.6	8.5	6.0	18.0	0.72	0.003	-170.84	22.86	621.416
368646	4.486	2	0.22516741197080029	1711248198.42	14.8	29.6	11.6	10.4	20.8	4.637	0.017	-60.71	76.829	609.007
368655	4.976	8	0.8119783039397187	1711248391.419	25.3	202.8	19.8	17.8	142.3	28.597	0.103	-54.484	65.609	608.522
368667	23.11	6	0.13112518521432412	1711248647.419	69.9	419.4	38.5	49.1	294.3	12.735	0.046	-52.149	49.851	608.58
368670	25.0	6	0.12121212121212122	1711248711.42	36.6	219.3	23.4	25.6	153.9	6.156	0.022	-51.905	45.901	608.708
368673	25.0	2	0.04040404040404041	1711248775.42	56.9	113.8	28.4	40.0	79.9	3.196	0.012	-51.73	41.949	608.876
368894	25.0	25	0.5050505050505051	1711253256.4189994	37.9	947.8	24.6	26.6	665.2	26.608	0.096	117.268	55.216	615.512
368897	25.0	6	0.12121212121212122	1711253320.4190001	61.5	369.1	44.1	43.2	259.0	10.36	0.037	117.705	58.628	614.855
368900	25.0	8	0.16161616161616163	1711253384.42	41.7	333.7	33.8	29.3	234.2	9.368	0.034	118.392	62.557	614.119
368903	5.718	16	1.4132228193088634	1711253448.419	41.2	659.3	25.2	28.9	462.7	80.92	0.291	119.37	66.479	613.407
368911	3.954	7	0.8941207727247181	1711253640.4190001	18.5	129.8	15.4	13.0	91.1	23.04	0.083	126.906	78.111	611.486
368917	5.412	8	0.7465639394685958	1711253768.419	38.8	310.7	20.9	27.3	218.1	40.299	0.145	153.842	85.173	610.422
368920	3.242	4	0.6231344911172179	1711253832.419	37.4	149.8	28.9	26.3	105.1	32.418	0.117	-152.066	86.642	609.972
369299	25.0	1	0.020202020202020204	1711261770.419	72.7	72.7	24.2	51.0	51.0	2.04	0.007	-100.182	-41.268	615.873
369472	25.0	3	0.06060606060606061	1711265355.419	20.8	62.6	11.4	14.6	43.9	1.756	0.006	87.761	82.432	610.891
369499	6.447	9	0.7050495649844184	1711265803.419	25.5	229.3	18.7	17.9	160.9	24.957	0.09	-128.601	68.783	608.697
369502	4.648	7	0.7606182304977486	1711265867.4189994	30.4	213.1	19.9	21.4	149.6	32.186	0.116	-127.44	65.108	608.614
369505	4.237	5	0.5960001239680258	1711265931.419	26.2	131.1	21.1	18.4	92.0	21.713	0.078	-126.623	61.423	608.579
369543	25.0	2	0.04040404040404041	1711266763.419	24.3	48.7	24.3	17.1	34.2	1.368	0.005	-124.582	9.546	611.522
369546	25.0	2	0.04040404040404041	1711266827.419	50.3	100.7	50.3	35.4	70.7	2.828	0.01	-124.614	5.836	611.856
369552	25.0	3	0.06060606060606061	1711266955.419	48.6	145.8	17.1	34.1	102.3	4.092	0.015	-124.684	-1.583	612.535
369587	25.0	8	0.16161616161616163	1711267724.419	49.2	393.6	42.7	34.5	276.2	11.048	0.04	-124.112	-49.734	616.635
369590	25.0	34	0.6868686868686869	1711267788.419	30.2	1026.4	22.5	21.2	720.3	28.812	0.104	-123.805	-53.426	616.95
369593	25.0	15	0.30303030303030304	1711267852.4189992	32.2	483.8	23.0	22.6	339.5	13.58	0.049	-123.393	-57.114	617.268
369596	25.0	30	0.6060606060606061	1711267916.4189992	46.7	1402.5	26.8	32.8	984.3	39.372	0.142	-122.835	-60.797	617.601
369599	25.0	95	1.9191919191919191	1711267980.4190006	36.7	3483.9	24.0	25.7	2445.0	97.8	0.352	-122.065	-64.474	617.932
369605	4.5	88	9.876543209876543	1711268108.4190001	35.7	3140.8	26.5	25.0	2204.2	489.822	1.763	-118.522	-73.266	618.765
369608	3.014	12	2.010818201926364	1711268172.42	33.7	404.5	21.9	23.7	283.9	94.194	0.339	-115.74	-76.64	619.102
369635	5.357	28	2.639801034424891	1711268748.4199998	31.7	886.9	20.0	22.2	622.4	116.184	0.418	39.855	-66.96	622.815
369641	9.717	109	5.665380781157255	1711268876.4190001	36.3	3954.4	27.2	25.5	2775.2	285.603	1.028	41.513	-59.622	623.541
