DetectorID	EventID	X	Y	E	EpixMean	LET
0	0	133.505	37.6347	302.77	60.5548	0.599232
0	0	161.466	56.6347	469.92	52.2137	0.928729
0	0	187.733	87.4325	359.35	51.3355	0.711983
0	0	224.483	87.4839	356.69	39.632	0.707271
0	0	163.805	108.305	494.98	49.4983	0.973088
0	0	148.478	108.516	334.02	41.7522	0.653622
0	0	151.425	130.507	395.09	43.8988	0.777882
0	0	89.5424	144.334	352.02	50.289	0.697471
0	0	112.426	150.759	383.77	54.8244	0.761353
0	0	163.487	150.426	384.48	42.7204	0.761419
0	0	179.792	150.457	389.6	48.6997	0.766306
0	0	235.828	161.592	661.52	47.2511	1.22251
0	0	119.517	173.495	344.63	38.2922	0.678261
0	0	122.52	182.513	373.18	41.4644	0.731956
0	0	93.3072	184.488	405.53	45.0587	0.804822
0	0	61.6236	186.041	462.75	57.8437	0.909451
0	0	127.521	188.529	319.59	35.5102	0.626602
0	0	139.345	203.93	483.1	53.6778	0.9434
0	0	128.256	205.49	329	46.9998	0.65246
0	0	144.543	208.817	408.97	51.1211	0.796616
0	0	235.399	212.387	379.95	42.2168	0.748213
0	0	101.742	221.455	315.06	45.008	0.623779
0	0	50.3574	232.49	333.34	37.0382	0.661538
0	1	255.428	64.0049	190.58	47.6458	0.380818
0	1	173.483	92.5927	293.93	48.9884	0.580964
0	1	180.018	122.509	366.78	45.8476	0.713287
0	1	148.468	135.507	400.78	44.5314	0.786544
0	1	138.449	149.448	351.53	39.0589	0.690595
0	1	160.575	149.503	375.17	41.6857	0.744811
0	1	112.738	154.353	637.67	53.1389	1.23531
0	1	149.109	163.972	529.21	40.7088	0.972448
0	1	153.68	164.513	407.3	45.2553	0.808193
0	1	179.507	164.912	336.91	42.1133	0.654787
0	1	105.103	171.5	357.24	44.6544	0.693429
0	1	122.306	185.456	332.89	47.5552	0.660295
0	1	109.439	196.621	356.37	39.5967	0.705575
0	1	159.723	217.629	335.98	47.9972	0.667337
0	1	154.893	250.477	303.46	43.3516	0.601366
0	2	223.513	52.55	322.37	46.0523	0.638591
0	2	105.667	76.9207	373.85	46.7315	0.732465
0	2	211.556	98.8959	823.62	58.8298	1.57917
0	2	159.52	115.138	343.59	49.084	0.680986
0	2	165.356	121.464	295.07	49.1777	0.583285
0	2	150.536	122.933	379.57	47.4457	0.738995
0	2	155.473	128.152	402.91	50.3641	0.784518
0	2	175.181	129.109	761.89	54.4208	1.47129
0	2	227.566	131.444	291.94	48.6567	0.577719
0	2	125.512	136.49	365.25	40.5834	0.71648
0	2	202.482	138.495	333.73	41.716	0.653293
0	2	140.519	139.769	482.05	48.2055	0.940239
0	2	190.584	140.504	359.6	39.9555	0.714227
0	2	138.706	160.094	341.07	48.7241	0.678144
0	2	69.5239	162.504	469.52	52.1684	0.921891
0	2	140.433	165.428	331.09	47.2982	0.657554
0	2	138.747	172.237	429.49	53.6863	0.846571
0	2	213.449	172.434	340.66	42.5826	0.66701
0	2	106.512	175.459	310.84	38.8555	0.608165
0	2	142.585	176.022	311.13	38.8909	0.606956
0	2	180.634	191.358	437.59	48.6207	0.861197
0	2	80.4833	212.585	325.31	36.1452	0.645403
0	2	88.2727	218.631	434.14	48.2379	0.857768
0	2	116.5	222.5	25.8	25.8049	0.0516099
0	2	99.5435	252.625	498.72	55.4137	0.990078
0	3	172.52	40.602	315.74	52.6235	0.624178
0	3	95.4126	80.5291	297.02	49.5042	0.587179
0	3	165.486	94.4791	351.07	39.0082	0.690016
0	3	195.933	96.1986	627.94	39.2461	1.12701
0	3	125.487	122.684	343.26	49.0368	0.680346
0	3	177.196	125.689	434.27	54.2839	0.852328
0	3	99.7265	126.297	531.09	66.3859	1.0513
0	3	166.659	126.87	297.08	49.5138	0.589481
0	3	142.626	129.058	493.4	49.3401	0.956932
0	3	146.785	131.355	663.07	47.362	1.24748
0	3	189.501	132.595	327.97	46.8528	0.65087
0	3	133.437	133.459	348.4	43.5499	0.682362
0	3	152.13	146.462	768.88	32.0366	1.1731
0	3	104.786	144.495	466.57	46.6571	0.909303
0	3	179.523	149.512	291.86	58.3723	0.578709
0	3	40.5472	163.499	440.42	48.9359	0.874845
0	3	93.6416	170.526	403.16	44.7958	0.798401
0	3	175.521	182.508	395.98	43.9975	0.779751
0	3	143.689	191.425	365.71	52.2441	0.725002
0	3	86.5189	195.937	397.41	49.6761	0.77346
0	3	39.5043	204.757	363.15	51.8786	0.719966
0	3	95.8342	206.524	337.01	48.1444	0.667614
0	3	145.522	213.157	379.73	47.4658	0.738735
0	3	165.877	213.421	421.34	52.6671	0.82296
0	3	59.2909	216.473	476.03	52.8918	0.938897
0	3	126.987	230.363	587.01	53.3645	1.13918
0	3	230.452	243.537	360.52	40.0577	0.712909
0	4	217.29	43.4978	405.96	45.107	0.804862
0	4	178.715	99.4802	327.7	46.8142	0.648904
0	4	142.51	115.542	339.19	37.6874	0.668162
0	4	163.536	115.488	334.49	37.1661	0.663357
0	4	161.491	120.473	305.94	43.7052	0.605277
0	4	142.477	140.626	323.11	40.3882	0.633754
0	4	187.641	166.26	407.44	58.206	0.809838
0	4	178.607	167.324	377.34	47.1673	0.741666
0	4	34.5615	169.506	361.26	40.1397	0.712874
0	4	218.611	178.456	330.99	47.2845	0.656856
0	4	114.374	179.489	312.41	39.051	0.612456
0	4	162.377	195.441	377.36	47.1705	0.740705
0	4	174.591	203.432	302.8	50.4672	0.599692
0	4	188.66	204.171	377.52	53.931	0.750674
0	4	68.0867	227.624	680.69	42.5434	1.19201
0	4	185.606	226.436	395.43	43.9368	0.779345
0	4	54.5114	228.593	345.81	38.4228	0.683814
0	4	141.529	244.336	406.77	45.197	0.806075
0	5	153.541	79.6725	324.83	54.139	0.642405
0	5	129.311	112.21	503.13	45.7395	0.98287
0	5	172.51	122.144	317.14	45.3063	0.628804
0	5	123.714	125.623	879.96	54.9976	1.57254
0	5	128.534	145.134	391.44	48.9301	0.762128
0	5	30.2388	146.156	532.39	53.2394	1.0419
0	5	177.471	149.405	388.65	43.1831	0.771441
0	5	103.774	151.629	2281.85	71.3078	3.81076
0	5	173.465	150.768	488.61	48.861	0.953389
0	5	159.642	154.577	314.46	52.4105	0.622862
0	5	151.303	162.589	363.55	51.9361	0.721006
0	5	69.5437	172.561	279.86	46.6427	0.55371
0	5	71.0407	190.465	489.59	61.1992	0.954202
0	5	65.8317	194.375	447.31	49.7007	0.872607
0	5	48.7316	228.658	479.56	53.2842	0.945909
0	5	118.642	245.169	495.34	49.534	0.968562
0	6	162.228	67.789	382.43	63.7389	0.760537
0	6	128.5	77.5	8.02	8.0187	0.0160374
0	6	133.038	78.5	37.77	18.8835	0.0750813
0	6	120.52	97.5078	318.45	53.075	0.630054
0	6	174.488	118.225	377.95	53.9931	0.749005
0	6	208.48	124.485	340.24	37.805	0.676084
0	6	182.512	127.554	385.43	42.826	0.762951
0	6	121.474	138.731	385.38	55.0536	0.764415
