DetectorID	EventID	X	Y	E	EpixMean	LET
0	0	78.3053	39.0047	3956.5	58.1838	3.71707
0	0	148.5	58.5	15.86	15.8556	0.0317113
0	0	246.785	71.203	3955.24	65.9207	4.13372
0	0	16.7212	198.94	7056.72	73.5075	6.34751
0	0	171.576	203.082	4636.11	65.2973	4.65603
0	0	59.2805	254.551	1314.94	65.747	2.45609
0	1	212.546	146.839	4335.81	68.8224	4.53715
0	1	114.302	184.358	5831.36	68.6042	5.67983
0	1	135.587	219.224	4921.82	67.4221	5.09182
0	1	203.372	230.341	8756.35	72.9696	6.10261
0	1	97.2737	247.676	6339.45	77.3104	6.75159
0	2	42.2204	13.2535	4294.41	63.153	4.29652
0	2	171.05	239.696	6869.3	68.0129	5.92044
0	3	232.833	65.8173	4464.46	61.157	4.20566
0	3	195.437	162.575	4389.91	65.5211	4.60848
0	3	221.8	232.951	6868.76	70.0893	5.80713
0	4	122.795	10.5387	3947.09	61.6733	3.9376
0	4	149.571	83.5882	4079.31	60.8852	3.73039
0	4	140.5	93.3177	27.11	13.5548	0.0538943
0	4	89.3975	177.17	3886.37	62.6834	4.00052
0	4	220.791	182.27	4255.52	63.5152	4.2629
0	4	85.8976	222.615	6661.31	74.8462	6.46912
0	5	205.653	60.1096	3932.12	61.4394	3.75265
0	5	106.226	211.873	4370.59	62.437	4.51165
0	5	187.841	248.629	5671	73.6493	5.6536
0	6	242.201	25.0707	4253.39	60.7627	4.13607
0	6	70.5081	138.085	3982.89	62.2327	3.91002
0	6	200.045	185.177	4580.71	67.3633	4.67244
0	7	214.137	226.786	6520.05	67.217	5.52085
0	8	71.564	98.733	4464.81	64.7073	4.27177
0	9	142.843	172.703	4228.39	63.1104	4.59016
0	10	35.6881	25.2273	4214.88	61.0852	4.02947
0	10	177.937	71.8748	3702.05	60.6894	3.8692
0	11	186.808	193.077	4700.53	70.1572	5.10756
0	11	212.056	220.259	4814.82	66.8725	4.75258
0	12	173.009	8.56308	4186.78	64.412	4.18839
0	12	156.309	208.07	4205.88	66.7601	4.49012
0	12	207.5	255.5	97.79	97.7878	0.195576
0	13	202.123	72.4424	3884.49	58.8559	3.88251
0	13	125.689	83.7728	3622.41	61.3969	3.78572
0	13	52.4362	139.521	3529.79	64.178	4.28175
0	14	244.69	16.2442	27.13	9.04426	0.0541704
0	14	107.04	42.6571	4130.62	60.7444	4.00798
0	14	154.455	115.06	4067.31	59.8134	3.94459
0	14	116.072	136.68	4218.65	63.9189	4.22133
0	15	52.6508	6.91638	3342.78	58.6453	3.65895
0	15	64.8171	9.46556	3993.87	57.8822	3.65504
0	15	219.15	34.4204	4539.67	63.939	4.22071
