DetectorID	EventID	X	Y	E	EpixMean	LET
0	0	172.357	18.71	1030.87	36.8167	1.07276
0	0	19.5731	181.782	927.9	34.3666	0.993502
0	0	72.5	246.5	82.98	82.9835	0.165967
0	1	19.4487	235.248	1010.89	33.6963	1.03536
0	1	125.962	242.287	1282.28	41.3638	1.34131
0	2	72.59	176.433	896.12	34.4661	0.917206
0	3	128.624	115.665	1101.05	37.9673	1.18012
0	3	96.6256	170.041	872.79	32.3256	0.906352
0	4	47.5852	250.081	919.98	41.8174	1.16096
0	5	170.275	85.2458	1223.85	40.7951	1.27608
0	5	147.362	187.718	875.63	35.0251	0.953399
0	5	103.318	230.933	1004.36	34.633	1.04368
0	6	111.928	22.2451	1224.64	36.0189	1.28757
0	6	91.686	185.861	1121.23	40.044	1.22594
0	7	177.243	121.705	916.42	32.7292	0.953083
0	7	192.204	126.058	973.69	36.0625	1.01273
0	8	154.321	72.5284	892.53	33.0567	0.973245
0	8	131.506	89.2061	125.33	31.3328	0.249546
0	8	87.3098	221.658	794.7	33.1124	0.891281
0	9	89.5849	205.303	1244.91	37.7244	1.23017
0	9	74.3416	210.807	1023.32	34.1107	1.05021
0	10	102.96	142.882	925.23	34.2679	0.960723
0	11	152.032	220.888	804.28	32.1713	0.875647
0	11	157.636	243.018	887.68	31.7028	0.909288
0	12	95.364	54.4514	1057.74	36.4737	1.10024
0	12	177.079	58.0886	882.63	33.9473	0.961778
0	12	183.203	84.5912	1017.62	36.3435	1.05698
0	13	48.9743	255.033	118.04	29.51	0.235049
0	14	144.393	155.236	1004.08	37.1882	1.07465
0	15	24.7972	251.377	644.17	37.8921	0.916848
0	16	174.215	125.492	933.73	34.5824	0.955711
0	16	98.0606	151.623	1007.73	38.7588	1.04667
0	16	111.879	159.067	1022.84	34.0946	1.08566
0	17	101.723	113.705	759.9	27.1393	0.776281
0	17	46.36	167.127	1150.98	37.1285	1.18174
0	18	145.874	6.81119	1349.78	43.5412	1.53437
0	18	119.909	147.155	899.88	34.6109	0.934139
0	19	79.9887	130.361	1083.17	41.6603	1.18232
0	20	65.5748	240.597	1154.01	37.2263	1.18357
0	21	223.56	39.6133	1111.55	37.0517	1.16866
0	21	115.873	228.543	1172.78	39.0926	1.20102
0	22	170.177	176.762	865.98	34.639	0.898319
0	22	66.378	254.892	148.19	49.3977	0.295551
0	23	106.274	249.091	1189.03	41.0011	1.28055
0	24	154.142	113.06	1038.87	34.629	1.08088
0	24	129.272	221.327	857.86	34.3144	0.935169
0	25	68.4306	187.96	891.65	35.6659	0.971123
0	26	77.1916	56.342	1286.53	40.2042	1.37158
0	26	100.499	90.6333	1031.68	36.8457	1.07165
0	27	7.72271	204.637	862.51	30.8039	0.939351
0	27	62.6425	252.407	665.02	41.5637	1.05561
0	28	172.046	148.098	917.07	39.8727	0.99572
0	29	115.477	82.5903	1074.9	35.83	1.10045
0	29	120.488	177.254	941.33	36.2051	1.02468
0	30	55.2113	151.084	1342.04	41.9387	1.48366
0	30	103.806	153.92	1074.02	34.6459	1.0494
0	30	55.5	157.859	15.25	7.62411	0.0303136
0	30	16.727	234.194	842.37	29.0472	0.861398
0	31	67.2876	56.4571	856.33	32.9356	0.932319
0	31	193.992	139.117	902.09	34.6956	0.936361
0	31	47.1611	190.797	934.72	32.2317	0.97333
0	32	201.709	7.73678	1218.33	34.8094	1.5125
0	33	202.641	94.9051	1110.05	35.8081	1.17779
0	33	194.5	103.5	7.4	7.40354	0.0148071
0	33	101.383	128.66	963.14	35.6718	1.00044
0	33	42.2697	216.034	1150.78	41.0993	1.20075
0	33	61.0618	231.897	982.68	35.0958	1.02253
0	34	75.6061	158.108	891.48	33.0179	0.912036
0	34	193.841	201.981	1069.05	36.8638	1.1465
0	35	149.475	15.8984	1016.34	36.298	1.0556
0	35	116.931	114.639	1271.83	38.5404	1.37989
0	35	52.3014	252.751	686.6	40.3881	1.10356
0	36	205.504	23.3402	1153.61	39.7795	1.20461
0	36	188.313	104.672	989.19	36.6368	1.06164
0	36	131.118	230.999	929.47	32.0506	0.950185
0	37	68.7641	221.329	1048.48	36.1543	1.07141
0	38	172.967	45.3161	877.62	35.1049	0.954084
0	38	85.3641	68.8523	882.17	32.6728	0.915606
0	38	107.087	139.607	1460.74	41.7354	1.54523
0	38	51.2961	142.077	1289.01	36.8287	1.34747
0	39	200.845	22.9065	860.5	31.8705	0.878381
0	39	71.051	166.867	1046.77	31.7203	1.14334
0	39	15.607	251.63	539.83	41.5251	0.807577
0	40	140.428	8.07747	1241.82	41.394	1.34478
0	40	75.5183	235.009	1149.25	37.0726	1.21577
0	41	212.398	50.2238	1031.73	35.5769	1.0749
0	41	193.889	57.1254	978.09	36.2257	1.05021
0	41	147.025	107.832	1003.43	34.6012	1.04763
0	42	3.94263	223.032	914.19	32.6497	0.951305
0	43	175.983	192.046	1327.98	34.9469	1.51143
0	44	53.3806	250.253	798.55	39.9277	1.00488
0	45	81.7875	145.759	1012.05	37.4832	1.03502
0	45	9.23557	197.986	1156.29	41.2961	1.21508
0	46	197.198	83.5027	1198.65	36.3229	1.28445
0	46	122.801	203.636	852.67	31.5803	0.872115
0	47	234.26	63.2663	1065.72	38.0613	1.12159
0	47	81.5422	133.343	912.27	31.4577	0.932807
0	47	143.015	180.5	158.57	79.2846	0.315237
0	47	140.493	190.57	939.66	34.8022	0.97983
0	48	133.433	118.278	1048.74	36.1634	1.12646
0	48	87.1961	247.424	823.87	34.3278	0.89533
0	49	126.887	127.087	1078.15	35.9383	1.10323
0	49	104.372	147.632	1003.39	37.1627	1.09146
0	49	189.627	208.406	1007.42	37.3119	1.07941
0	50	104.331	196.501	1039.34	38.4941	1.06514
0	50	149.635	235.518	1200	37.5	1.23118
0	51	154.198	67.1174	954.71	34.0969	0.991908
0	51	75.6298	78.1981	1122.08	38.6924	1.232
0	51	60.318	187.672	1025.22	35.3525	1.10074
0	52	98.7673	203.99	1082.78	36.0928	1.12621
0	53	125.934	26.3594	910.16	33.7097	0.944945
0	53	121.051	93.5767	911.81	32.5645	0.94659
0	53	115.919	127.23	158.36	31.6719	0.31358
0	53	156.38	197.238	876.15	31.2911	0.909045
0	53	137.931	220.353	1040.67	37.1668	1.0828
0	54	78.8125	236.621	1334.94	43.0626	1.43657
0	55	175.061	12.6681	969	32.2999	0.992155
0	55	152.844	131.285	1481.72	38.9926	1.80588
0	56	165.58	81.9078	988.02	32.9339	1.00964
0	57	120.471	108.964	1069.87	36.8921	1.1137
0	57	40.7276	149.385	902.83	33.4381	0.96608
0	58	188.979	95.9141	958.84	35.5127	0.995734
0	58	171.053	116.903	1393.4	42.2243	1.46635
0	58	49.8537	250.856	827.32	48.6661	1.32523
0	59	183.03	179.807	966.22	34.5079	1.00866
0	59	90.3681	217.913	914.47	31.5336	0.937011
0	60	224.924	42.7265	1022.03	35.2425	1.06151
