DetectorID	EventID	X	Y	E	EpixMean	LET
0	0	101.517	124.193	630.99	48.5375	1.08765
0	0	124.811	134.459	807.99	44.8886	1.38221
0	0	140.374	151.566	835.7	52.2311	1.52748
0	0	230.917	232.588	495.62	49.5624	0.886483
0	0	129.026	239.879	520.22	43.3515	0.93193
0	1	190.03	93.6602	573.23	47.7691	1.02807
0	1	46.0041	167.213	439.92	43.992	0.786718
0	1	65.6575	178.554	738.31	46.1446	1.27716
0	1	151.985	203.676	689.66	49.2617	1.24041
0	2	129.514	77.3039	534.89	44.5738	0.960769
0	2	197.539	111.498	588.41	45.262	1.06052
0	2	73.7762	214.253	546.56	42.043	0.983582
0	3	178.118	74.188	591.97	34.822	1.02251
0	3	133.485	132.412	636.68	48.9753	1.14698
0	3	19.5179	168.546	536.89	44.7412	0.963851
0	3	101.653	170.089	482.89	40.2407	0.868124
0	3	158.77	170.536	921.39	54.1992	1.70213
0	3	170.87	190.407	652.5	50.1921	1.14274
0	4	215.158	191.778	664.16	44.2776	1.20031
0	4	156.053	198.635	425.28	42.5277	0.758186
0	4	143.029	227.961	586.06	41.8616	1.0519
0	4	51.136	232.932	650.91	43.3938	1.15382
0	5	158.834	36.2495	486.81	48.6805	0.870278
0	5	58.3597	118.19	640.3	49.2541	1.15415
0	5	85.1884	144.212	744.02	46.501	1.30038
0	5	73.3583	169.069	577.79	48.1495	1.0365
0	5	43.8738	180.643	581.81	48.4844	1.04331
0	5	164.79	185.888	665.51	51.193	1.19614
0	5	125.224	207.666	629.32	48.4089	1.13264
0	6	76.2584	83.691	983.37	42.7553	1.51899
0	6	206.984	101.803	545.08	41.9291	0.978245
0	6	91.0092	140.924	876.57	51.563	1.59338
0	6	204.11	155.785	661.27	47.2333	1.18807
0	6	69.5465	163.507	565.56	43.5045	0.974103
0	6	111.362	182.808	560.88	46.7401	1.00967
0	6	93.5479	192.632	652.53	50.1943	1.19287
0	6	18.7392	196.16	469.68	42.6984	0.842103
0	6	26.6675	230.33	639.11	45.6508	1.15487
0	7	161.5	0.5	7.58	7.58362	0.0151672
0	7	65.1826	93.7723	564.47	56.4472	1.01337
0	7	215.707	116.887	542.22	45.1852	0.972908
0	7	137.439	117.678	542.71	45.2256	0.974401
0	7	86.4957	166.494	484.72	44.0651	0.869963
0	7	201.007	167.891	534.5	48.5905	0.957054
0	7	254.711	167.75	549.9	49.9905	0.988302
0	7	74.9216	205.447	630.66	42.0438	1.11551
0	7	181.393	221.411	688.86	45.9242	1.19551
0	8	148.525	120.028	537.58	48.8707	0.964722
0	8	115.276	157.569	573.63	47.8024	1.03219
0	8	238.732	159.331	665.43	51.187	1.19572
0	8	34.8563	184.658	519.07	43.2557	0.931813
0	9	154.899	33.5033	505.79	45.9809	0.918692
0	9	125.081	109.29	567.23	43.6329	1.00522
0	9	14.7613	141.792	718.46	47.8971	1.30191
0	9	102.531	158.469	676.67	48.3335	1.22998
0	9	21.881	168.71	641.31	42.754	1.15498
0	9	128.326	212.408	731.41	48.7604	1.2816
0	9	204.971	224.772	600.98	42.9273	1.07983
0	9	7.29258	230.288	749.35	35.6836	1.41976
0	10	181.97	139.036	588.92	49.0771	1.05767
0	10	118.035	186.833	550.84	45.9034	0.989446
0	10	30.5343	190.143	608.03	46.7717	1.09382
0	10	156.411	227.712	654.33	46.7376	1.18064
0	10	185.949	229.029	858.87	40.8984	1.36988
0	10	98.485	253.429	704.41	54.185	1.32358
0	11	99.8873	0.5	43.35	21.6755	0.0861823
0	11	113.484	149.033	566.78	47.2313	1.01828
0	11	22.8702	183.91	600.26	46.1735	1.07918
0	11	213.146	196.105	497.4	49.7402	0.889524
0	11	43.449	211.126	763.42	47.7139	1.34305
0	11	135.733	223.939	875.58	58.3718	1.60418
0	11	64.5527	255.33	131.2	43.7336	0.26113
0	12	72.7619	50.9824	669.16	47.7971	1.20599
0	12	154.541	109.022	587.41	45.1856	1.05867
0	12	152.108	113.684	75.68	18.9202	0.151266
0	12	4.87468	139.135	646.9	46.2072	1.16253
0	12	157.182	159.667	577.39	48.1161	1.04796
0	12	151.574	192.552	807.54	50.4713	1.39953
0	12	30.9119	201.761	553.29	42.5608	0.992954
0	13	100.373	109.954	516.76	39.7506	0.928489
0	13	176.672	120.147	514.17	46.7423	0.923435
0	13	182.104	163.716	503.01	38.6933	0.902692
0	13	201.642	209.323	529.42	40.7243	0.91045
0	13	78.4499	223.155	626.51	48.1927	1.12983
0	14	173.245	117.388	576.41	41.172	0.993235
0	14	94.5098	122.534	628.57	52.3809	1.12863
0	14	206.657	136.567	501.48	41.7898	0.899983
0	14	130.406	162.821	563.97	46.9971	1.01257
0	14	158.535	171.042	576.74	44.3647	1.04573
0	15	46.3409	4.02529	776.08	51.739	1.40249
0	15	32.5209	63.3974	727.8	45.4876	1.26249
0	15	10.6644	165.342	651.12	46.5088	1.11743
0	15	40.0052	205.944	654.59	43.6392	1.17847
0	15	88.274	255.302	255.05	63.7627	0.507276
0	16	31.6449	92.2683	518.36	43.1971	0.930652
0	16	30.7642	111.483	601.35	42.9536	1.03451
0	16	145.76	131.386	759.44	44.6728	1.31356
0	16	243.222	212.531	567.01	43.6163	1.01889
0	16	59.4958	237.983	598.6	46.0465	1.07831
0	17	140.634	38.0253	503.5	45.7724	0.904215
0	17	220.286	93.4603	554.69	42.6683	0.998404
0	17	125.659	111.356	718.3	51.3074	1.29687
0	17	23.2875	132.443	714.36	47.6237	1.29251
0	17	51.6702	140.261	900.07	45.0034	1.58875
0	17	151.913	148.023	657.51	43.8338	1.18395
0	17	86.5334	156.559	643.66	45.9755	1.16231
0	17	28.2834	167.846	531.51	44.2924	0.954711
0	17	129.064	175.489	699.23	43.7021	1.20697
0	18	232.745	46.6372	767.39	51.1592	1.34893
0	18	113.814	48.5614	559.05	46.5876	1.00236
0	18	108.921	146.878	514.34	42.8617	0.92093
0	18	182.251	194.188	902.94	45.147	1.34054
0	18	28.0455	199.178	610.69	43.6207	1.09717
0	18	81.1049	237.031	685.1	45.6732	1.23757
0	18	70.7908	240.846	575.34	44.2572	1.03292
0	19	237.095	32.6445	539.26	41.4818	0.965761
0	19	108.036	64.6262	532.72	48.4289	0.964791
0	19	186.002	92.0239	557.34	42.8726	0.998472
0	19	115.875	139.421	585.16	48.7635	1.07309
0	19	62.8899	149.856	705.95	50.4253	1.27127
0	19	141.981	153.229	646.72	46.194	1.16563
0	19	65.1525	193.085	471.3	47.13	0.843627
0	19	92.1681	193.771	557.26	39.8044	1.00199
0	19	198.782	195.873	605.02	46.54	1.08533
0	19	203.926	196.783	544.37	45.3639	0.975589
0	20	106.336	54.2533	466.11	42.3736	0.799545
0	20	118.542	54.1118	460.67	41.8794	0.827544
0	20	129.004	61.0234	616.2	56.0184	1.10407
0	20	39.8798	83.7289	927.92	42.1781	1.56321
0	20	173.799	119.792	636.42	48.9554	1.14453
0	20	209.738	127.203	477.77	43.4338	0.856959
0	20	58.3581	165.164	640.42	49.2631	1.15168
0	20	111.042	165.266	622.55	41.503	1.08577
0	20	66.9689	183.76	525.17	43.764	0.940629
0	20	167.688	189.618	764.9	47.8063	1.38482
0	20	78.6515	201.123	543.54	41.8111	0.977595
0	20	114.516	205.461	625.4	48.1078	1.07662
0	21	117.751	47.1798	552.64	42.5105	0.949234
0	21	139.417	50.4321	585.38	45.0294	1.05493
0	21	87.8951	83.4725	583.97	44.9206	1.01627
0	21	148.962	131.265	773.54	48.3461	1.40317
0	21	121.033	147.228	572.92	35.8077	0.935396
0	21	18.4711	161.979	584.26	44.9432	1.03854
0	21	112.792	248.843	552.65	46.0545	0.991059
0	22	52.3671	83.6519	878.8	54.9251	1.60721
0	22	105.919	87.4575	707.95	41.6444	1.22324
0	22	132.745	87.982	626.15	48.1654	1.12544
0	22	175.021	94.3432	813.93	50.8705	1.47677
0	22	89.904	131.809	668.57	47.7548	1.20672
0	22	152.956	230.315	809.09	50.568	1.44511
0	23	0.517523	101.745	509.71	63.7137	0.906966
0	23	123.911	171.095	555.95	50.5406	0.996013
0	23	163.105	207.526	542.95	45.2461	0.985389
0	23	178.569	233.256	494.19	41.1824	0.887395
0	23	127.201	235.238	681.23	37.846	1.16026
0	23	198.635	242.011	515.62	42.9686	0.925778
0	24	94.1594	104.719	578.21	44.4777	1.04097
0	24	193.999	150.042	541.54	41.6573	0.972833
